date,brand,channel,campaign_id,campaign_name,spend,impressions,clicks,platform_reported_purchases,platform_reported_revenue,currency,reporting_timezone,attribution_window,reporting_basis,data_status,synthetic
2026-08-29,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-29,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-30,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-30,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-30,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-31,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-31,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-31,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-01,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-01,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-01,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-02,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-02,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-02,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-03,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-03,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-03,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-04,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-04,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-04,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-05,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-05,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-05,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-06,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-06,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-06,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-07,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-07,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-07,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-08,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-08,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-08,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-09,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-09,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-09,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-10,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-10,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-10,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-11,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-11,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-11,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-12,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-12,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-12,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-13,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-13,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-13,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-14,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-14,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-14,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-15,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-15,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-15,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-16,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-16,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-16,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-17,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-17,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-17,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-18,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-18,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-18,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-19,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-19,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-19,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-20,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-20,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-09-20,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
